Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,75.0,34.74937622946077,113.80538539979172,7.994601220782227,7.521508378344673,24.633194971124833,16.102422600474018,553088.0,0.0,148.0,52.87142720581206,27.102690611692026,
1,obj2-val2,2,0,44.0,100.74202242729025,57.20780971734849,12.278608032298829,21.805627840186666,12.382640115737741,24.731106658288724,815881.0,0.0,222.0,57.31916537867079,36.09879243696082,
2,obj3-val3,3,0,114.0,110.9864635773391,20.41589621059888,11.086937457647387,24.023038864567148,4.419024197310537,22.330888978424294,426479.0,0.0,182.0,43.674244751664105,35.98950182138393,
3,obj4-val4,4,0,45.0,61.373626804236125,61.85274605078439,11.070295356349412,13.284331930715192,13.388037372888963,22.29736908910658,586952.0,0.0,164.0,48.35656615587411,27.12612597106985,
4,obj5-val5,5,0,36.0,111.38631405032652,91.22329550328386,7.236587612678972,24.109586567259726,19.74529778311387,14.575660337103184,268129.0,0.0,119.0,32.02687529861443,20.523279168348857,
5,obj6-val7,7,0,71.0,70.13319781457103,81.25417173602557,12.142720904398818,15.180342561521313,17.587479252932102,24.457407958505854,661655.0,0.0,236.0,66.7798748486072,35.991569096561825,
6,obj7-val10,10,0,69.0,10.525924385043425,103.62952658311231,13.478296669960303,2.2783381183344815,22.4306286044337,27.147474016599794,230748.0,0.0,197.0,50.92650629000221,35.58416483954232,
7,obj8-val12,12,0,105.0,67.98968279935596,113.36366571667197,14.71501020311518,14.71637837293887,24.537584670798115,29.638415515322436,464564.0,1.0,227.0,64.96490001398406,45.42517122043774,
8,obj9-val14,14,0,86.0,76.35669972881608,13.026598313458896,18.120323934767264,16.527420606362654,2.8196094142531343,36.49726929425975,296109.0,0.0,174.0,50.17946110828673,33.686895683548705,
9,obj10-val15,15,0,80.0,82.15379977748911,30.176162743720905,14.79356210104978,17.782203895083377,6.5316355437414195,29.796631769226902,160891.0,1.0,141.0,48.012831990450614,26.060884214414855,
10,obj11-val16,16,0,52.0,123.59944084381752,70.05799127377473,13.201296225695769,26.753119933051423,15.164064093010959,26.589550226421032,47214.0,0.0,81.0,26.056291390728475,11.93744643679434,
11,obj12-val17,17,0,32.0,95.3914183624031,93.36887718023256,14.382158430232558,20.647488682881907,20.209709300979057,28.967998097085214,165120.0,3.0,126.0,44.49474535165724,19.39666550617881,
12,obj13-val18,18,0,32.0,93.77417043571717,125.55540131058468,13.146537697968444,20.29743509486625,27.17648790781315,26.47925767647457,66993.0,2.0,78.0,26.138509559110418,9.750114175085923,
13,obj14-val19,19,0,61.0,30.22226903048388,82.37367035281727,16.509303142004566,6.54161525733087,17.829794918403106,33.25241230805007,170910.0,1.0,128.0,34.31927710843374,16.600720537175558,
14,obj15-val20,20,0,74.0,23.561680404645934,41.23322171225178,20.005321515548896,5.0999297196355435,8.924937832751937,40.29395993690411,170816.0,0.0,157.0,46.07930941462099,29.698288025834668,
