Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,95.0,24.12726733311328,65.25268975652693,7.783943194857044,4.56955820702903,12.358463969039192,15.67812319341779,1017936.0,0.0,239.0,94.63889921904054,55.27177726156408,
1,obj2-val2,2,0,53.0,53.60012955605458,41.90648643979962,4.792531093453101,10.151539688646702,7.9368345529923525,9.652934381778067,463120.0,1.0,228.0,69.13270637408569,43.21207264711398,
2,obj3-val3,3,0,167.0,102.0463979391704,62.42178214923451,2.4251266063639823,19.326969306661063,11.822307225233809,4.884598042715805,273288.0,7.0,216.0,95.05669565217391,51.46742880472275,
3,obj4-val5,5,0,9.0,56.78161266725844,70.1842945556761,6.1821801952855315,10.754093308192887,13.29248002948411,12.451912903171474,486672.0,0.0,222.0,53.835398230088494,42.24698224557441,
4,obj5-val7,7,0,4.0,55.438630313837834,97.76475547332583,7.815744136994523,10.499740589742014,18.516052172978377,15.742175445087298,926402.0,0.0,242.0,70.52927293490674,54.76558187414838,
5,obj6-val9,9,0,7.0,60.412142840944,20.109695429065052,5.276035320579825,11.441693719875758,3.8086544373229265,10.626790260176504,485043.0,0.0,255.0,57.12436697679896,60.22688421030176,
6,obj7-val10,10,0,87.0,107.3781137432973,38.90116981707675,2.117116641439919,20.33676396653358,7.367645798688778,4.264216051995427,170454.0,0.0,191.0,57.39191919191919,44.37112615194842,
7,obj8-val11,11,0,50.0,90.07917763839167,81.1703415781532,2.6017189857688097,17.06045031030145,15.373170753438105,5.240283716418682,270392.0,4.0,250.0,100.48011891490152,54.490187672193876,
8,obj9-val12,12,0,124.0,70.42530456246516,118.83315869097858,5.018456883509834,13.33812586410325,22.506280055109578,10.107985540350244,313975.0,3.0,220.0,66.12784330244314,39.89427094518753,
9,obj10-val15,15,0,36.0,87.54399413721704,22.765360724007166,4.203214061373101,16.58030191992747,4.311621349243781,8.465954364370674,171932.0,0.0,205.0,50.702447655558835,45.11404352538968,
10,obj11-val16,16,0,103.0,58.66971379786647,141.5711035313163,8.994887665561913,11.111688219292892,26.81270900214324,18.117161623791088,496642.0,0.0,216.0,75.12358190893964,45.65227057232237,
11,obj12-val17,17,0,141.0,34.39492462489324,124.88146676976102,5.800868721478494,6.514190269866145,23.651792948818375,11.683889793064461,395754.0,12.0,242.0,119.34680337756333,48.242278123308374,
12,obj13-val18,18,0,45.0,74.39887097675681,104.92277289386064,17.539727405562076,14.090695260749396,19.87173729050391,35.32785378303608,125241.0,0.0,125.0,16.231337480559876,19.375633496125392,
13,obj14-val19,19,0,76.0,87.38418689153983,148.01792815028108,14.763009049773755,16.55003539612497,28.03369851331081,29.7350929720069,58344.0,0.0,138.0,27.598864711447494,26.16750293369262,
14,obj15-val20,20,0,78.0,124.23244033229308,84.90935563271944,19.289333435892928,23.528871275055508,16.081317354681712,38.85184389920208,182008.0,0.0,170.0,33.086347936738775,33.721581934018694,
15,obj16-val21,21,0,35.0,91.32257685044733,57.15007274866112,18.608742222084636,17.295942585311995,10.823877414519151,37.4810228863388,161515.0,0.0,111.0,18.119250617006955,19.74949773789576,
