Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,5.0,115.27959849337941,92.50209684308624,6.011086087057818,29.11098766677182,23.359097668129603,12.768749066128219,51506.0,0.0,148.0,9.18601747815231,6.789939565458901,
1,obj2-val2,2,0,34.0,77.99781847671825,53.24757450834629,5.79548151652362,19.69640388573399,13.446347012450822,12.310761837399474,739850.0,0.0,255.0,120.890522875817,99.01939260981624,
2,obj3-val3,3,0,240.0,28.691004650358256,77.62552707386685,5.900826952119273,7.245197705748772,19.60239097643786,12.53453661169176,751555.0,0.0,255.0,162.4983783783784,83.14318359776199,
3,obj4-val4,4,0,3.0,111.83682669986206,123.40689028698314,8.29774921777748,28.241601508852913,31.163332524491306,17.626078888402922,29723.0,0.0,107.0,10.189578333904697,8.30592536402336,
4,obj5-val5,5,0,23.0,23.36392291944237,69.32699119357879,2.856026386767621,5.899976065533882,17.506802695245128,6.06677125077178,61546.0,1.0,208.0,32.409689310163245,35.39481710402741,
5,obj6-val6,6,0,159.0,47.906426096652794,81.51401057326616,6.007805499691364,12.097573182811425,20.58433051017036,12.761780442444396,401768.0,2.0,255.0,101.48219247284668,82.54857007279715,
6,obj7-val7,7,0,169.0,43.039670231691396,53.17598066350871,6.4884365584764065,10.8685953600771,13.428267772400352,13.782736937515583,709953.0,6.0,255.0,154.87630890052355,77.38359366734888,
7,obj8-val8,8,0,12.0,36.641471132604934,106.53070631082453,5.256277986745477,9.252889740892856,26.901673132779074,11.165385699444743,83745.0,0.0,248.0,26.781259993604092,45.684977888600336,
8,obj9-val9,9,0,17.0,61.2194325372525,94.07316799346806,4.778835816833367,15.45944094922466,23.755832506558217,10.151203042117439,293940.0,0.0,255.0,46.8281025967819,74.35161361967374,
9,obj10-val10,10,0,230.0,53.54622434021361,69.70802468311454,9.97302094900761,13.52176357952598,17.6030232005164,21.184691099881967,973459.0,0.0,255.0,144.96783320923305,93.17220152983813,
10,obj11-val11,11,0,255.0,21.06068090103356,98.04900014600943,6.411544686654427,5.3183497338344345,24.759829764272762,13.619403223391334,643794.0,1.0,255.0,119.24319318392295,103.90817305055577,
11,obj12-val12,12,0,12.0,64.26010165479147,132.47891475387007,5.179938264441711,16.22728610427605,33.45424605836664,11.003224861327084,43087.0,0.0,129.0,10.052963135790947,6.068357730624661,
12,obj13-val13,13,0,188.0,71.33836876682459,36.078983528062984,7.117711687713205,18.014725940062316,9.110847524121317,15.11944316704039,711756.0,0.0,255.0,98.95120255804254,97.32212881153805,
13,obj14-val14,14,0,10.0,116.0488424106873,42.82437687642306,7.794716798645953,29.305241034081867,10.814228392358052,16.557537423683733,49629.0,0.0,66.0,9.85484511517077,5.832703944885015,
14,obj15-val16,16,0,8.0,77.23637330497208,148.15713905876098,3.543250908446335,19.50411989712434,37.41339061075483,7.526573579721705,22566.0,0.0,47.0,9.117575757575757,5.049343644746584,
15,obj16-val17,17,0,4.0,104.68951083244303,60.672907508275394,4.3752736571098305,26.43672513188577,15.321429682824835,9.293956302432703,57097.0,0.0,255.0,24.234719864176572,44.364726524844606,
16,obj17-val18,18,0,22.0,84.38518370520299,74.65295374685644,5.019508497912984,21.3093736810813,18.85174171505841,10.66243995126676,460466.0,0.0,255.0,101.8955521132994,105.05782751776697,
17,obj18-val19,19,0,12.0,39.20551821719137,121.55213123452423,10.037981959674566,9.900375887894874,30.694959381223757,21.322681278740713,45232.0,0.0,99.0,9.98719364098035,6.190355994532207,
18,obj19-val20,20,0,7.0,102.83303873913684,126.67176314626602,11.456503166887613,25.96791940287339,31.987794743151966,24.335904027102668,67890.0,0.0,216.0,16.36297903109183,19.874590863732656,
19,obj20-val21,21,0,3.0,92.98260561988286,107.30965533743225,9.744265160263412,23.480438176406146,27.098377283409192,20.69876805343154,96123.0,0.0,235.0,16.615903197925668,21.294080214043884,
20,obj21-val22,22,0,9.0,88.41807147673634,19.109634683273175,7.945737971520368,22.32777891247465,4.825661668254589,16.878336599103566,25211.0,0.0,83.0,10.426385442514475,6.715613206556614,
21,obj22-val23,23,0,131.0,51.641836638589396,42.874647327881675,10.968211394431773,13.040857958589777,10.826922941190114,23.29867464405197,244207.0,1.0,251.0,74.9101226993865,69.0281918872481,
22,obj23-val24,24,0,9.0,59.04372478879671,111.42194992008524,9.22825176954106,14.91002021685254,28.136834724641684,19.60265240885912,26278.0,2.0,52.0,12.78112840466926,5.656747054792036,
23,obj24-val25,25,0,6.0,98.32718227225878,49.550225957345596,7.221755331800523,24.83007772273374,12.512673843263654,15.340452675810672,50452.0,0.0,220.0,21.08315921437526,19.66543377775751,
24,obj25-val26,26,0,13.0,31.419250384521977,137.5435926495588,7.31409374241075,7.934148126787272,34.73320415402686,15.536597927628916,12353.0,0.0,81.0,12.377755511022045,6.572990093454473,
25,obj26-val27,27,0,5.0,67.03904047195593,138.63488483060772,11.695787966858978,16.92903779920266,35.00878277885338,24.844192799201842,23053.0,0.0,50.0,7.94657014822475,5.153529703462869,
26,obj27-val28,28,0,19.0,96.18779867819013,28.539755973563803,12.625139806812404,24.28982974967194,7.207003624382053,26.81832197763091,39340.0,0.0,121.0,10.178525226390686,6.4968302829226685,
27,obj28-val29,29,0,5.0,97.11320361362057,41.76393328700487,11.857366226546212,24.52351768764331,10.546439810021575,25.187417338429466,28780.0,0.0,154.0,12.934831460674157,15.777647176701064,
28,obj29-val30,30,0,3.0,71.03660886319845,147.281005983166,10.892303011864922,17.93852400192587,37.192145052204765,23.137430057803467,19722.0,0.0,102.0,7.8793447862564925,6.0655084317929076,
