Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,9.0,62.744718604142825,57.357090506988285,10.224769521556324,14.625818760279513,13.369960516752878,20.5943430174541,77773.0,0.0,15.0,8.636646307606885,2.5220728536612076,
1,obj2-val2,2,0,11.0,127.36711043003544,58.23407719567091,12.708388632725383,29.689323892309353,13.574386461265805,25.59675444514315,73087.0,0.0,15.0,8.066997792494481,3.262621561332746,
2,obj3-val3,3,0,15.0,83.8672731224192,53.55219038157037,9.872861622527864,19.549494585292067,12.483036790368473,19.88554347259741,64418.0,2.0,15.0,7.926418112464624,2.9378247780775526,
3,obj4-val4,4,0,2.0,88.26093027075862,81.55814876666575,14.192077093656748,20.573657806930548,19.011236783304454,28.585143477388854,73054.0,0.0,15.0,8.26215788283194,3.51637978912326,
4,obj5-val6,6,0,10.0,111.35034582523394,51.490951283094496,12.609179814053011,25.95580971856949,12.002561140041474,25.39693180485891,66363.0,0.0,15.0,9.1057903402854,2.6137215810626686,
5,obj6-val7,7,0,10.0,45.363676415054755,70.87095623715017,12.561930936097008,10.57429094124186,16.520047971397222,25.30176490669418,47666.0,0.0,15.0,8.106462585034013,3.1584389215973308,
6,obj7-val8,8,0,8.0,58.355153437965015,94.29403094028133,14.600120728865429,13.602609381303768,21.979975962752736,29.4070094932301,71234.0,0.0,15.0,8.475193337299226,3.474118590015332,
7,obj8-val13,13,0,7.0,98.89442454696103,53.543219115838994,11.284813171540065,23.052329534720197,12.480945584772904,22.729442737326934,18707.0,4.0,15.0,9.452753916119253,2.5383143387061944,
8,obj9-val14,14,0,3.0,56.88370192307692,110.33793269230769,13.764134615384615,13.259613450330368,25.719815816259942,27.72319796647095,20800.0,0.0,15.0,5.749032614704256,2.7453996313450855,
9,obj10-val15,15,0,8.0,56.696929876956155,39.695914466610915,15.284942061880301,13.216076812397809,9.253133386016568,30.786350651780904,33484.0,0.0,15.0,8.654432669940553,3.4186126167345163,
