Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,101.0,73.92971591763114,95.56873590861265,5.135722230572674,12.44608640671555,16.089020904995852,10.344176955362732,332650.0,0.0,223.0,62.528195488721806,55.87007827026291,
1,obj2-val2,2,0,76.0,38.93478546994298,67.06642039593014,7.193802200391843,6.554680998987538,11.290648866645915,14.489483582221164,797767.0,0.0,238.0,71.85795352188795,60.73643850242409,
2,obj3-val3,3,0,41.0,109.47714453747268,77.52825269514318,5.312993183417923,18.43050502171511,13.051900984990933,10.701229385955836,431888.0,0.0,226.0,45.77509273979862,48.38344207815602,
3,obj4-val4,4,0,167.0,65.11670827409407,39.16826939223303,7.181074031367896,10.962414336925434,6.593988076464185,14.46384698686215,446635.0,0.0,252.0,72.96765234438817,66.18844852513226,
4,obj5-val5,5,0,44.0,123.64904256446584,72.03509574355341,6.7624009236896265,20.81634764537185,12.127126620359137,13.620571490673033,179281.0,0.0,203.0,20.00457487168043,24.363658589897508,
5,obj6-val6,6,0,10.0,110.8173460929847,30.76946914324467,5.867785019968352,18.656128293159863,5.180047926496372,11.818670063822946,106168.0,0.0,142.0,13.543564230131395,8.86667192296314,
6,obj7-val7,7,0,172.0,73.0052312337492,49.05897064685145,5.779075891096164,12.29044917594221,8.259090138741055,11.639995500555596,484207.0,0.0,252.0,60.914203044408104,63.75122040778647,
7,obj8-val8,8,0,91.0,35.63517360237021,43.035424856218896,5.345691892101238,5.999190505040694,7.245024678668844,10.76708988495606,413128.0,0.0,247.0,46.35637342908438,54.8542167235715,
8,obj9-val9,9,0,11.0,79.26179156225326,18.778217362946688,5.187626583364801,13.343742692505277,3.1613176509932055,10.448720734393293,116524.0,0.0,198.0,16.036884117808974,13.97206984404847,
9,obj10-val10,10,0,170.0,68.63089675278329,80.08616046110951,7.257334215990909,11.5540288577222,13.482525405502649,14.617447358722822,463751.0,0.0,245.0,73.77521476296532,60.05528264442688,
10,obj11-val11,11,0,102.0,85.37743442917927,62.26965801562268,5.592989902411143,14.373312718706638,10.483112704538854,11.265188159065705,377912.0,6.0,252.0,94.0313510823588,49.30841786263661,
11,obj12-val12,12,0,142.0,94.1825464281161,75.57171227480606,5.723771914626532,15.855655554727738,12.722516909487675,11.528604328437376,611806.0,0.0,227.0,93.26310975609756,52.0470805440972,
12,obj13-val13,13,0,108.0,59.038700807622824,94.62737549148099,7.904240905387694,9.939180239926523,15.930542640254027,15.920422279931136,451696.0,0.0,238.0,61.62291950886767,53.79781505884869,
13,obj14-val14,14,0,100.0,107.82159623060187,95.4805377444129,7.223331075921096,18.151793044777946,16.074172721705565,14.548959523491728,347005.0,0.0,189.0,77.62975391498881,49.802910376964476,
14,obj15-val15,15,0,28.0,47.60462385554022,26.479308484473428,9.026427698703607,8.014250487927892,4.457798292570422,18.18068836245571,126042.0,0.0,108.0,18.76462706565431,12.81155437330749,
15,obj16-val16,16,0,10.0,24.880086728892884,52.37734119534273,9.416642428409,4.188568904814748,8.817738661373522,18.96664407295595,113457.0,0.0,155.0,22.185569026202582,21.477513131408504,
16,obj17-val17,17,0,24.0,27.91224816656832,76.0102840765405,11.68186799291916,4.699034051122975,12.796350583433039,23.529175501080267,35589.0,0.0,61.0,15.602367382726873,10.417182735626119,
17,obj18-val18,18,0,13.0,120.79198781143575,57.162394694389675,11.979969528589352,20.335361753791418,9.62330363035363,24.129600309353822,44632.0,0.0,63.0,13.524848484848485,9.633240459015187,
