Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,6.0,26.010985267819127,45.36847483607255,5.53291322489994,6.063170969075067,10.5754094550818,11.144183993504194,11743.0,0.0,15.0,5.320797462618939,4.580541217001144,
1,obj2-val2,2,0,0.0,65.70359367224141,54.41854292651295,13.36262460225302,15.315533710685909,12.68498391176333,26.914491724443504,66311.0,0.0,15.0,8.697665267576076,4.746272707079204,
2,obj3-val3,3,0,0.0,54.968243836272244,35.707452325859734,13.456614537620682,12.813119411568877,8.323421281147688,27.103802687890564,50132.0,0.0,15.0,8.765868158769015,4.486065196660309,
3,obj4-val4,4,0,2.0,28.909898145729954,15.18211891703665,11.549969530773918,6.738908709197223,3.5389579333124597,23.263510620598897,22974.0,0.0,15.0,5.073763250883392,4.466139526429892,
4,obj5-val5,5,0,0.0,85.3050930781332,19.7174882013634,11.380571578395385,19.884650986500272,4.596154309982827,22.922315688978877,30512.0,0.0,15.0,7.823589743589744,4.826048988998541,
5,obj6-val8,8,0,8.0,34.833213118927404,72.52318723747295,7.170223598795028,8.119635775719052,16.905183672033562,14.441992457053699,23569.0,0.0,15.0,6.1027964785085445,4.9002531740892215,
6,obj7-val10,10,0,0.0,59.976847026122115,61.89773839982311,13.424302725923118,13.980626799068187,14.428387339157375,27.038721462126784,63318.0,0.0,15.0,8.66301819674374,4.949844416271088,
7,obj8-val11,11,0,5.0,86.94074774546209,48.46834421200729,11.905320940101944,20.265922737349722,11.297990234493705,23.979245953313097,43357.0,0.0,15.0,8.397637032732908,4.848671837934562,
8,obj9-val12,12,0,11.0,16.110061242344706,30.621259842519684,5.9131233595800525,3.755261656906685,7.1378277986021175,11.909988828107725,11430.0,0.0,15.0,6.622247972190035,4.109635597080717,
9,obj10-val13,13,0,14.0,95.71767714437932,37.223825253063396,12.158423015450186,22.31182845684492,8.676888411125555,24.489034555116003,46925.0,0.0,15.0,9.364398323687887,4.783508943919314,
10,obj11-val14,14,0,15.0,43.79621446943217,65.82284178592627,13.159170348875552,10.2089149408338,15.343330493220924,26.504701882864968,60652.0,0.0,15.0,8.781236426813377,5.1039647207235115,
11,obj12-val15,15,0,7.0,49.248419150858176,7.9509183980728695,4.435109906654622,11.479826011733383,1.8533622280092201,8.93303018177484,9963.0,0.0,15.0,5.7456747404844295,4.763345970624511,
12,obj13-val16,16,0,15.0,108.67025005842487,64.70916101892966,11.685674222949288,25.331078333720253,15.083731065296705,23.536841865263685,8558.0,0.0,15.0,9.626546681664792,5.15131548605195,
13,obj14-val17,17,0,11.0,32.4819312906221,62.37062209842154,13.808839368616528,7.571551050180712,14.53861671661345,27.813240585096988,26925.0,0.0,15.0,10.587888320880849,3.878266976937922,
14,obj15-val18,18,0,3.0,12.688415779586725,68.46512210394489,13.997411813817575,2.957674744198359,15.959247081978123,28.19305605300783,23955.0,0.0,15.0,7.815660685154976,5.3685589948488515,
15,obj16-val19,19,0,11.0,50.40021173292447,82.85368524805607,15.10389515569671,11.74830931884672,19.31322685028826,30.42169283916879,27393.0,0.0,15.0,7.9515239477503625,5.308127807297467,
16,obj17-val20,20,0,0.0,74.74883131092102,60.18206683906903,17.118012731251245,17.42398218714862,14.02846361875522,34.478452078680675,40216.0,0.0,15.0,10.186423505572442,4.249883895339483,
17,obj18-val21,21,0,15.0,4.795143638850889,48.818570451436386,16.15047879616963,1.117749881608516,11.37962810963187,32.52968191832746,5848.0,0.0,15.0,9.52442996742671,4.942596016685724,
18,obj19-val22,22,0,7.0,80.8628208505283,31.622706119940293,17.312143296162965,18.84915557062821,7.371265322549246,34.86946250053276,34167.0,0.0,15.0,11.621428571428572,3.8430261447148966,
19,obj20-val23,23,0,10.0,13.60560892127636,34.730926355305286,18.06922822126532,3.171472828833298,8.095792690602183,36.39435424582153,9057.0,0.0,15.0,7.092404072043853,4.834818231850131,
20,obj21-val24,24,0,12.0,53.953424944928145,6.652889961187454,20.760935697052343,12.57656472601919,1.5507912852124266,41.81588936621081,9533.0,0.0,15.0,8.189862542955327,4.853223160496301,
21,obj22-val25,25,0,15.0,34.17333597464342,26.131240095087165,20.281299524564183,7.965818152004168,6.091202416945086,40.84982437677754,10096.0,0.0,15.0,8.534234995773458,4.290859474235971,
