Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,15.0,29.93828043989426,50.99989776693783,5.397540564618597,6.9786250293168655,11.888096370915372,10.871521514888745,68471.0,0.0,137.0,17.48046974725555,13.895897021002298,
1,obj2-val3,3,0,17.0,51.73826707507294,69.2872313772397,7.242312075194168,12.06021054911529,16.150881079226796,14.5871903324131,123733.0,0.0,140.0,22.41539855072464,13.736239329042247,
2,obj3-val4,4,0,20.0,64.99401560487841,82.26259374289826,3.806302552836906,15.150130782114397,19.175443186300193,7.6665102559106755,52804.0,2.0,133.0,18.85183862906105,9.780547622541759,
3,obj4-val5,5,0,14.0,27.953457553610153,71.93121034455064,5.731286643643081,6.515962028320803,16.76719362380688,11.543740210642227,49804.0,0.0,229.0,22.720802919708028,17.592931594115996,
4,obj5-val6,6,0,14.0,79.89202854230378,81.88048929663609,3.1264424057084605,18.622863499042957,19.086374488522043,6.29716172982978,24525.0,0.0,177.0,15.328125,10.830628931935962,
5,obj6-val7,7,0,27.0,41.66092800342713,84.16800985300812,6.015555972047444,9.711178819805033,19.619596436316417,12.116304711598302,37349.0,0.0,187.0,16.9613987284287,14.712413802512923,
6,obj7-val8,8,0,17.0,77.28173315352156,49.216983512420065,6.031565667551225,18.014402609960232,11.472498351961567,12.148550833148008,114935.0,0.0,201.0,18.789439267614846,11.921813068648627,
7,obj8-val9,9,0,17.0,17.917993027133544,54.166772775504015,5.437805062907382,4.176691272076308,12.626296189835102,10.952620740395659,32985.0,0.0,114.0,22.034068136272545,19.57720324036622,
8,obj9-val10,10,0,19.0,35.296533916762755,98.04508766224167,4.53192600695779,8.227636037219318,22.854348770463403,9.128033499458638,101469.0,0.0,188.0,20.712186160440908,13.393350056740438,
9,obj10-val11,11,0,2.0,11.88122632744944,47.22504109197456,3.6336739798470665,2.769518563171359,11.008175784732382,7.31880833076985,13993.0,0.0,57.0,5.815876974231089,6.661941851337072,
10,obj11-val12,12,0,13.0,62.14102405242796,47.43144300799912,6.708300634697727,14.485097321146837,11.056288153115055,13.511604740225147,72633.0,0.0,176.0,16.628434065934066,9.350733364114406,
11,obj12-val13,13,0,36.0,31.550633529454846,29.06940748516882,3.602499938966334,7.354465173158594,6.776090399403269,7.256018759837769,81922.0,0.0,119.0,21.092173017507722,20.05261558308107,
12,obj13-val14,14,0,24.0,40.41848538803536,105.9565639226808,7.351891932233749,9.42156495401637,24.69851702056687,14.807901924876772,93793.0,0.0,123.0,18.594964314036478,13.8397353034155,
13,obj14-val15,15,0,8.0,35.288536914476644,47.689102358157164,10.446604125168669,8.225771932818752,11.116348649697697,21.041153863439625,93378.0,0.0,194.0,19.675094816687736,21.310475200182754,
14,obj15-val16,16,0,19.0,45.35798497765664,18.412211200202833,7.133711532976262,10.57296426492994,4.291893723982286,14.368451238724793,63106.0,0.0,118.0,18.93937575030012,13.014964413303014,
15,obj16-val17,17,0,24.0,65.75032932193173,21.303400388488246,7.934090959833887,15.326427809141064,4.965831068993346,15.980545127596168,89578.0,0.0,230.0,20.569001148105627,13.107625014549638,
16,obj17-val19,19,0,36.0,36.640586797066014,107.85227126495947,9.605467881751501,8.540935296007437,25.14040715295593,19.34696914027051,85481.0,0.0,145.0,23.323601637107775,17.205445343555763,
17,obj18-val20,20,0,7.0,14.646137162515892,81.73928651559345,6.397576845411712,3.4140203740272765,19.053460064329524,12.885756667391004,26742.0,0.0,134.0,14.361976369495167,18.343343547814385,
18,obj19-val21,21,0,55.0,46.445390212299415,49.959712947274,7.86573308083325,10.826438855854542,11.645628877426722,15.842861280041776,100330.0,3.0,122.0,25.998963462036798,11.493117780330884,
