Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,18.0,99.2927619850248,29.597662960681987,8.66743379469061,25.073910798811212,7.474151651067433,17.555020407766364,61702.0,0.0,107.0,12.662015185717218,8.307838739771128,
1,obj2-val3,3,0,26.0,27.0014680061023,78.27045853602372,5.838001208946202,6.818547361227328,19.76525233340069,11.82428764859964,34741.0,0.0,59.0,12.100661790316963,7.314676877328259,
2,obj3-val4,4,0,68.0,60.54080839038063,81.53961482485389,8.736152714784042,15.288071344991565,20.590796225370003,17.694203708523602,129863.0,0.0,131.0,17.835874193105344,13.341019892294142,
3,obj4-val5,5,0,53.0,68.20713314544521,61.620499014037584,7.274619796684645,17.22401047308429,15.560720285827456,14.734014936205082,222118.0,1.0,209.0,34.341063698206554,27.39465142085296,
4,obj5-val7,7,0,9.0,107.08804654122352,52.66989364603218,9.93896009453686,27.04241550858005,13.30046811733026,20.13036977547496,110010.0,0.0,181.0,13.637039791744142,11.618412525362489,
5,obj6-val8,8,0,9.0,49.28638744514328,15.316399377110846,5.960927862155439,12.446048006817996,3.867774690350196,12.073263292009628,49447.0,0.0,119.0,10.029817444219066,7.808374184962961,
6,obj7-val10,10,0,99.0,43.766311828144325,74.33401861885929,7.7451957419377315,11.052090573705202,18.771202602336235,15.687119455720683,172191.0,0.0,139.0,25.37070870782378,23.24012359399533,
7,obj8-val11,11,0,7.0,34.470582305702095,37.65854641981116,10.05231679043043,8.704685906980902,9.509726740058317,20.359962427337795,59522.0,0.0,144.0,9.736954032389988,6.377354586267934,
8,obj9-val12,12,0,65.0,15.988636363636363,58.36868686868687,7.488754208754209,4.037531376525816,14.73955622475207,15.167722774410777,59400.0,0.0,101.0,10.259067357512953,7.253514572307022,
9,obj10-val13,13,0,4.0,69.41941858886358,22.769185511487922,8.328375096172703,17.530142928897675,5.74978996518132,16.868290919788194,66287.0,0.0,149.0,12.10500365230095,8.44487494628749,
10,obj11-val14,14,0,34.0,104.83640081799591,78.05869365075485,7.199463903078891,26.473818534479875,19.71177639278426,14.581794189295989,122739.0,0.0,181.0,31.423195084485407,24.81713638325609,
11,obj12-val15,15,0,12.0,93.87938417285,58.27406596280195,7.831121498381983,23.70689723539351,14.71566207470094,15.861153482822871,122372.0,0.0,182.0,17.67615195724397,16.269339536096386,
12,obj13-val16,16,0,8.0,45.48895194600222,48.75487759830753,4.859229658484167,11.487100374924518,12.31182845020762,9.841883750293833,59558.0,0.0,130.0,13.993890977443609,7.882209231272004,
13,obj14-val17,17,0,5.0,10.257082945013979,74.1154240447344,6.582246039142591,2.590170498611738,18.71600199412334,13.331681127679406,21460.0,0.0,82.0,8.967822816548265,7.3409706772090475,
14,obj15-val18,18,0,2.0,38.07715604570044,102.80278630657727,7.685548384401696,9.615436161462615,25.960279905489283,15.566309697767197,47877.0,0.0,136.0,10.613389492352029,8.185295225726287,
15,obj16-val19,19,0,6.0,90.4921491148257,38.475563469987264,9.788987963709154,22.85153549500485,9.716044020670505,19.826616221696522,76934.0,0.0,135.0,14.956065318818041,12.417349315429545,
16,obj17-val20,20,0,71.0,87.40773062972512,78.65739195035616,10.041917580736792,22.0726425282317,19.862962717542427,20.338899868024303,228830.0,0.0,189.0,37.41497710922172,35.38359073859383,
17,obj18-val22,22,0,16.0,122.51567870710969,80.37818850630164,8.385545438099259,30.938279265725225,20.29750697317695,16.98408373032624,33166.0,0.0,84.0,7.982190132370638,6.628324459437334,
18,obj19-val23,23,0,20.0,66.28824799081515,100.12466590126292,9.947113662456946,16.73944388194028,25.28398738618706,20.1468840119403,108875.0,0.0,109.0,27.888063524590162,14.966287880890963,
19,obj20-val24,24,0,12.0,19.83964805171485,31.02675525228946,12.753860657209552,5.010008338810564,7.835033269492336,25.83166937511223,22276.0,0.0,77.0,9.83922261484099,7.877864552248932,
20,obj21-val25,25,0,34.0,99.36702499840978,95.03875919682802,11.691007781523652,25.092664070812518,23.99966848429863,23.678967160698008,94326.0,0.0,126.0,24.83570300157978,16.985264327815102,
21,obj22-val26,26,0,11.0,77.24728216574087,94.68300084011486,15.153352309061955,19.506874657857804,23.909830583490685,30.691599766774086,79751.0,0.0,205.0,22.857838922327314,21.54750916942341,
22,obj23-val27,27,0,10.0,76.41264066333869,4.967679160673492,14.66325408240968,19.296106761368286,1.2544634841623836,29.69895481851257,11819.0,0.0,41.0,8.145416953824949,5.755256489250857,
