Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,1.0,86.56540777230433,48.55493758497096,10.818740399385561,20.178430840931668,11.318175184031821,21.790696634482302,56637.0,0.0,15.0,7.82062966031483,2.2096947108589533,
1,obj2-val2,2,0,4.0,86.33991452991452,15.1291452991453,5.337264957264957,20.12586827681104,3.5266097619987384,10.750116672382592,23400.0,0.0,14.0,5.600765916706558,1.679494944223454,
2,obj3-val3,3,0,8.0,75.41282308377896,65.36334670231729,10.466477272727273,17.578758932413933,15.236222007222219,21.08118160360487,89760.0,1.0,15.0,8.992185934682428,2.3259445575188074,
3,obj4-val4,4,0,9.0,59.53476734126109,81.68830684150707,8.055319004563266,13.877577849416001,19.041576682106555,16.22471805797163,58949.0,0.0,15.0,7.491294954886262,2.6465835307827503,
4,obj5-val5,5,0,5.0,27.259973336068096,64.8113834478515,8.021782381294226,6.354310582517447,15.107559153969456,16.157169863188983,48755.0,0.0,15.0,6.695276023070585,2.666121119906602,
5,obj6-val6,6,0,8.0,106.99840478229476,51.52618675801387,13.41222104679865,24.941370537623865,12.010774543202215,27.014387002206533,59553.0,0.0,15.0,9.416982922201138,2.9782122002767926,
6,obj7-val7,7,0,10.0,65.66731957209582,53.13257119180353,13.009416905228266,15.307078203573528,12.385223391019512,26.20307417575478,53096.0,0.0,15.0,8.562489920980488,2.7501916401149353,
7,obj8-val8,8,0,15.0,92.04565241656435,76.37980429363397,8.899877218439558,21.455878038274705,17.804162635459647,17.925795184268484,26877.0,0.0,15.0,8.51076630778974,2.7125591562740294,
8,obj9-val9,9,0,8.0,34.3172662686116,62.94214345098632,14.120776963192503,7.99936836054002,14.671838570280196,28.44153345851516,52924.0,0.0,15.0,9.154817505621864,2.9758671305398967,
9,obj10-val10,10,0,9.0,47.969417998178656,87.90477688550376,13.368076827551949,11.181690336421834,20.490638311752612,26.925473389876437,60395.0,0.0,15.0,9.649305000798849,2.667981393608894,
10,obj11-val11,11,0,3.0,113.95906954125466,46.443973901766896,13.613389528286595,26.56390425010896,10.8261087133084,27.41957292872828,49352.0,0.0,15.0,9.195453698528041,3.154370007393167,
11,obj12-val12,12,0,10.0,14.736548758009304,54.61831826560169,11.145484069165278,3.435095352749502,12.731551622437427,22.448811343086607,22786.0,3.0,15.0,7.485545335085414,2.8372645847029347,
12,obj13-val14,14,0,15.0,73.66230028328611,114.98003399433428,14.196079320113315,17.170711374223835,26.801891468533494,28.593204610141658,44125.0,0.0,15.0,8.236886316968452,3.3089709705886623,
13,obj14-val17,17,0,11.0,96.23078239051095,80.06523722627738,17.01511177007299,22.43143349296304,18.663238511886462,34.27119286497782,17536.0,2.0,15.0,9.463572584997301,3.3218947036246336,
