Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val5,5,0,110.0,58.11777816472227,82.87245411805677,14.409588020198502,11.007154955439823,15.695540552662266,29.02324573698515,717875.0,0.0,217.0,74.69306003537613,54.84364543926755,
1,obj2-val6,6,0,119.0,11.700386134398261,100.29775660319184,10.76597025443761,2.215982222423913,18.995787235453,21.684409009724824,136222.0,0.0,247.0,67.80587356893977,51.92140997786544,
2,obj3-val7,7,0,87.0,44.076368987497766,124.53135224213838,13.253620912126733,8.347797156723061,23.585483379192876,26.69494062552667,413846.0,0.0,231.0,47.76615881809788,45.99605531641891,
3,obj4-val8,8,0,83.0,80.7351040117465,117.83530495858074,14.062948204155928,15.29073939616411,22.317292605791806,28.32505696509767,528498.0,0.0,218.0,49.415427769985975,44.64509094769832,
4,obj5-val9,9,0,210.0,43.328611175299095,16.825601166870808,15.328497640479304,8.206176358958162,3.186666887664926,30.874078646441365,748669.0,0.0,255.0,73.67339106475103,67.78463915866107,
5,obj6-val10,10,0,140.0,99.67440724513114,80.75333431164965,12.753854216892728,18.8777286449112,15.2941921044791,25.688329500586427,477010.0,1.0,247.0,86.27419063121722,54.9055403939866,
6,obj7-val11,11,0,43.0,77.30489889671273,52.38869601235079,11.945897503483074,14.641079336498622,9.922101517490681,24.0609737284946,132785.0,0.0,164.0,30.233378870673953,20.374414869953913,
7,obj8-val12,12,0,125.0,109.43623495557154,46.404550109207804,14.393721685364858,20.72655965067643,8.788740550986326,28.991288367060577,617172.0,0.0,225.0,75.98768776163506,49.70323798923443,
8,obj9-val14,14,0,55.0,13.15109047607396,58.13198675442675,14.182403941047411,2.490736832589765,11.009845976217187,28.565660180237085,490428.0,0.0,239.0,65.85578085134954,49.37104701330747,
9,obj10-val15,15,0,43.0,109.3876226009545,95.12179630999172,16.17182276216038,20.71735276533229,18.01549172537722,32.572672125201045,361029.0,0.0,237.0,56.12140525415825,52.094489624803266,
10,obj11-val16,16,0,64.0,32.72693964938055,85.9544201431502,15.321169746754933,6.1982840245038915,16.279246239232993,30.859319080796684,893048.0,3.0,237.0,85.5655839800709,48.39994278163346,
11,obj12-val17,17,0,60.0,67.59522303186382,10.52444679314939,12.226247273972296,12.802125574216634,1.9932664380964755,24.62564360453898,134353.0,0.0,246.0,39.8082962962963,30.839407386109237,
12,obj13-val18,18,0,88.0,93.67412264988552,17.706584214707394,14.024315020483185,17.741311107932862,3.353519737633976,28.24724347162621,256796.0,0.0,206.0,53.745500209292594,44.8655249533474,
13,obj14-val19,19,0,107.0,127.06709100751173,69.18223368256567,13.414721622983736,24.06573693324086,13.102695773213194,27.019423567929447,375013.0,0.0,253.0,94.46171284634761,51.81338658655027,
14,obj15-val20,20,0,59.0,63.32184530325385,35.03959830564942,14.259578316120127,11.992773731676866,6.6362875578881475,28.721101879832798,504264.0,0.0,251.0,73.89566236811254,60.253947069204116,
15,obj16-val21,21,0,23.0,71.64046648719663,54.561090830464046,17.079991452202513,13.568270168029665,10.33353993001213,34.40187106029771,790847.0,1.0,230.0,82.18299906474073,40.703319395289476,
16,obj17-val22,22,0,98.0,71.5649848903792,93.92315726850507,17.68707873903961,13.553974411056664,17.788476755398687,35.62464325093733,295838.0,1.0,167.0,59.971214271234544,33.476026430645305,
