Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,29.0,70.69356379403197,59.213472280641064,5.141425140237982,16.478697722639897,13.80268384351809,10.355663539739748,254389.0,0.0,167.0,63.54958780914314,32.793597190558756,
1,obj2-val2,2,0,80.0,93.68783132854337,58.37278329431393,2.292806975054493,21.8386705931364,13.60671890780202,4.618084859275763,74322.0,0.0,129.0,39.596164091635586,27.399203647998387,
2,obj3-val3,3,0,11.0,86.18587804936746,83.29758457206574,5.322268304226799,20.089962312180514,19.41669995854677,10.719910982549637,124657.0,0.0,192.0,26.802193076757685,24.496846484037455,
3,obj4-val4,4,0,21.0,43.29528863324977,39.98401265752983,7.1351691841746945,10.0921489299992,9.320289188437624,14.37138718449032,235749.0,6.0,239.0,66.03613445378151,34.064927123366566,
4,obj5-val5,5,0,41.0,76.89321843803094,39.219182037244735,3.933328151199849,17.923839675885777,9.14200686789402,7.922360398954841,90053.0,0.0,170.0,53.15997638724912,33.08525605137833,
5,obj6-val6,6,0,90.0,51.30419933551079,75.64395531436641,7.335341992511133,11.959029187085864,17.632635946917077,14.774567663909112,355461.0,16.0,188.0,82.64612880725413,27.44027513610724,
6,obj7-val7,7,0,33.0,52.509795642627935,42.14412080488334,6.1425555528747555,12.240054163820615,9.823811253220772,12.372102451108857,331576.0,0.0,228.0,76.20684900022984,32.50388424498596,
7,obj8-val8,8,0,35.0,49.122914967022815,60.072218072087836,6.806068588615744,11.450570936768212,14.002857827659982,13.708525245362932,406948.0,5.0,213.0,91.84111938614308,42.32674724439275,
8,obj9-val9,9,0,4.0,50.44567987268964,100.512798643687,3.9182467782365853,11.758907960236252,23.429573177717145,7.8919840694615635,96143.0,0.0,163.0,31.134391191709845,38.08699412352655,
9,obj10-val10,10,0,108.0,29.480315801416168,62.556543269198684,9.917585974466268,6.871873290684393,14.581955015166372,19.97562556619482,149841.0,0.0,157.0,50.67331755157254,37.19129327206283,
10,obj11-val11,11,0,76.0,73.74600124458911,108.22495606326889,6.954545143709012,17.19022210145814,25.2272801270651,14.00758109197093,146233.0,0.0,208.0,39.812959433705416,36.699415348330845,
11,obj12-val12,12,0,89.0,36.99630806917267,88.42360386107141,5.832894928698492,8.623854065439364,20.61157708526869,11.748395765120474,171455.0,5.0,197.0,76.74798567591763,35.278567179734736,
12,obj13-val13,13,0,113.0,68.02760708878796,98.22856554457209,5.420184344109003,15.857262158642062,22.89711753751159,10.91712975682064,179664.0,0.0,156.0,72.82691528171868,30.26137217501142,
13,obj14-val14,14,0,6.0,19.722810922404477,57.90938855824906,5.030370477895517,4.597395038365873,13.498701411271167,10.131981450363895,62001.0,0.0,170.0,22.48042059463379,33.89028598994514,
14,obj15-val15,15,0,79.0,41.40125401202862,90.17390785441185,5.815576687822614,9.650648709551225,21.01957363942489,11.713514021106118,234607.0,4.0,187.0,87.40946348733235,29.88501382459267,
15,obj16-val16,16,0,5.0,18.88605263157895,36.59368421052631,7.206513157894737,4.402346349328205,8.530002284506567,14.515085510787179,15200.0,0.0,82.0,5.346465001758705,9.363744371055308,
16,obj17-val17,17,0,19.0,81.71130594416661,37.44802810660252,5.920443755143381,19.046937782046612,8.729150185093959,11.924733291240786,63188.0,0.0,176.0,25.91796554552912,23.7027619602042,
17,obj18-val18,18,0,7.0,69.85953867028493,24.98240434192673,5.953736770691995,16.284286135930852,5.823408347820927,11.991790820591259,92125.0,0.0,141.0,29.301844783715012,35.660400867649294,
