Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,0.0,87.3786623046165,66.14711014176663,9.808287895310796,20.368000794549857,15.41891757541244,19.75548152005949,27510.0,0.0,15.0,9.870828848223896,3.7138058714396505,
1,obj2-val2,2,0,0.0,82.78779732186293,29.21368768722636,9.606139744476023,19.297868348593934,6.809722171653352,19.34832238069126,39057.0,0.0,15.0,9.456900726392252,4.282380340737073,
2,obj3-val3,3,0,8.0,70.60962911276904,12.633836079652193,4.759433202726639,16.459132515190348,2.9449521945241908,9.586269865444674,18631.0,0.0,15.0,6.827042872847197,4.8599281729296315,
3,obj4-val4,4,0,6.0,75.04487576997809,88.33258919343503,8.486564140725124,17.492990267820257,20.590361530191057,17.093315657164666,48378.0,0.0,15.0,9.540130151843817,4.149560550723684,
4,obj5-val5,5,0,12.0,69.91150648213993,41.09314315409441,7.859129697500137,16.29639985345909,9.578827946521738,15.829560995751635,73124.0,0.0,15.0,10.494259471871413,3.8193333659490736,
5,obj6-val6,6,0,9.0,90.6841375057808,46.14166795128719,5.798920918760598,21.138508373264784,10.755641076505926,11.679966602696393,32435.0,0.0,15.0,10.473038424281564,4.467944928327456,
6,obj7-val7,7,0,3.0,92.42406894949197,64.96746868332664,9.537442700521769,21.54408708199376,15.143942684185246,19.20995539994941,47339.0,0.0,15.0,9.611979695431472,4.095367327792103,
7,obj8-val9,9,0,0.0,46.914167954662545,14.808346213292117,7.704173106646059,10.93571113328577,3.4518313680154367,15.517453306855932,19410.0,0.0,15.0,7.915986949429038,5.139930692142205,
8,obj9-val10,10,0,15.0,31.52682886529803,38.60601429220538,3.744846957742988,7.348916296514434,8.999077223645001,7.542728726846608,24209.0,0.0,15.0,8.758683068017366,3.82715792085045,
9,obj10-val11,11,0,6.0,50.42004682310666,97.89198018184788,8.353405564327327,11.752932886225016,22.81865935613659,16.825112702342985,36734.0,0.0,15.0,7.622743307740195,5.369071587161789,
10,obj11-val12,12,0,3.0,35.398795385137426,88.31345436036648,6.622709535120461,8.251473226003988,20.585901193023325,13.33921039331893,23576.0,0.0,15.0,9.08166409861325,4.2351264030424405,
11,obj12-val13,13,0,0.0,49.79083889133805,58.25734154353731,7.697293761287845,11.60626426809577,13.579809389968645,15.503597190320113,70319.0,0.0,15.0,8.334597605784046,4.610124906624434,
12,obj13-val14,14,0,6.0,46.80905034290677,40.021233266449045,6.786349615165763,10.911208176347625,9.328965327120054,13.668808036840547,33391.0,0.0,15.0,9.553934191702432,4.046579940788348,
13,obj14-val16,16,0,15.0,31.7372321888728,41.54592976170025,9.014528676957813,7.397961394582048,9.684372684106831,18.156721804100687,40747.0,0.0,15.0,8.67326521924223,4.927739760004857,
14,obj15-val17,17,0,13.0,26.373640600725015,66.90535991714138,11.582923355774211,6.147706070825928,15.59566589840072,23.32988496521003,30896.0,0.0,15.0,8.413943355119825,4.996779297772218,
15,obj16-val18,18,0,15.0,51.17817371937639,66.02152932442465,13.692485358409634,11.929652566045243,15.38964463714652,27.578884750219217,24246.0,0.0,15.0,8.398337374437132,4.34504170222894,
16,obj17-val19,19,0,14.0,93.02391275785048,50.736346516007536,13.998992686024614,21.683910911324762,11.826662469928893,28.196240185856,22833.0,0.0,15.0,8.982297403619198,4.0298084217787355,
17,obj18-val20,20,0,15.0,70.18992555045145,103.76017741169017,16.613179154126406,16.36129944856639,24.186538454849778,33.46163543238674,6313.0,0.0,15.0,5.354537743850721,3.6699351205007082,
18,obj19-val21,21,0,14.0,76.02539079367821,83.27264876068745,15.761982900077728,17.721548708234113,19.410887411037223,31.74718821730837,11579.0,0.0,15.0,6.700810185185185,3.985666186988797,
