Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,3.0,71.87631542604612,58.77174423422179,5.366137273857202,16.754397596559187,13.699716860925964,10.808270197540851,36205.0,0.0,15.0,9.04446665001249,3.751863935776211,
1,obj2-val2,2,0,15.0,93.90991299582106,57.915051037884496,2.610536411591423,21.890437917747047,13.500021337517136,5.258043441128273,14597.0,0.0,15.0,7.7767714437932876,3.7102884699652154,
2,obj3-val3,3,0,4.0,87.85284458099375,83.03323092135466,6.055761556662076,20.478532871000553,19.355079017853548,12.197285275416913,28317.0,0.0,15.0,6.088368092883251,3.2124984653801607,
3,obj4-val4,4,0,5.0,43.93770034429538,39.96263207883177,7.012911076813487,10.24189535430803,9.315305367074096,14.125139541024788,33692.0,0.0,15.0,9.437535014005602,3.6815888515524633,
4,obj5-val5,5,0,6.0,78.05998685939554,39.06629434954008,3.7938239159001315,18.195813857071588,9.106368687330104,7.641376258618667,15220.0,0.0,15.0,8.984651711924439,4.497659754044128,
5,obj6-val6,6,0,10.0,51.52711766739657,76.03657946294803,7.398985824593754,12.010991538548062,17.724156791472822,14.902756656931542,43385.0,0.0,15.0,10.087189025807952,3.1864649843653567,
6,obj7-val7,7,0,0.0,54.39997366861958,40.452987514537114,6.652403835604415,12.680655410392964,9.42960741337048,13.39901952725986,45573.0,0.0,15.0,10.47414387497127,3.3442639581907785,
7,obj8-val8,8,0,4.0,53.458672545125175,60.98168801973067,7.4501604208045045,12.461237745649981,14.214855632703397,15.005830587930378,45817.0,0.0,15.0,10.340103814037464,2.849041007410465,
8,obj9-val9,9,0,0.0,48.92797607373995,107.77819180231418,5.276573838007453,11.405130603527217,25.123139200869883,10.627874921557092,20396.0,0.0,15.0,6.6049222797927465,3.83520278838499,
9,obj10-val10,10,0,12.0,26.415851272015654,61.86452217873451,9.185135355512069,6.15754539502374,14.420644624864428,18.50035130614545,24528.0,0.0,15.0,8.294893473114643,3.623654287634742,
10,obj11-val11,11,0,7.0,72.1275133918174,110.37271950935487,6.333242760655229,16.812951941881874,25.727924637092958,12.756177393609258,25762.0,0.0,15.0,7.013885107541519,3.45174846995954,
11,obj12-val12,12,0,11.0,38.892184557438796,90.4306625577812,6.443203218626947,9.0657836258251,21.079423262482752,12.977655578036952,23364.0,0.0,15.0,10.458370635631155,3.2862146397954524,
12,obj13-val13,13,0,13.0,69.19169353309312,98.57872179025223,5.300739616916366,16.12861116991297,22.978739097079146,10.67654871699912,26365.0,0.0,15.0,10.687069314957439,4.1190917781353225,
13,obj14-val14,14,0,3.0,16.56718429158111,74.35247689938399,6.415426078028747,3.8618172207535606,17.331591816820385,12.921707914833654,15584.0,0.0,15.0,5.650471356055112,3.0968559288255166,
14,obj15-val15,15,0,15.0,41.18514727624247,92.30050418893818,6.096061260851435,9.600274143837973,21.515284087363742,12.278455411313656,26379.0,0.0,15.0,9.828241430700448,3.0645812650443323,
15,obj16-val16,16,0,4.0,17.104767273312934,31.278225157030118,7.072878080206152,3.9871280267359013,7.29096667364339,14.245922805135901,12418.0,0.0,8.0,4.367921209989448,1.1948096781109006,
16,obj17-val17,17,0,4.0,85.03864471356647,41.29378146686624,6.435229282895632,19.822541767177572,9.625596816703194,12.961594779081668,14698.0,0.0,15.0,6.028712059064807,2.5925614177700624,
17,obj18-val18,18,0,4.0,66.2535118628142,19.68278130138595,6.429222457129434,15.443719858735147,4.588064117850421,12.949496058419617,21285.0,0.0,15.0,6.770038167938932,3.821200201727184,
