Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),
0,obj1-val1,1,0,137.63296879167777,107.40184049079754,10.051347025873566,26.066850149938972,20.341257668711656,20.245042003333047,107,77,0,164,129,18,58406.0,0.12837722151833716,541.7164275615023,7498,795.6019880696441,6302.0,4587.051966666666,0.0254043477574053,0.2939701369684367,0.06587828197842154,0.40387541901448326,0.0659035495120658,0.4039274138888101,0.9062185723503171,25.265089865155492,5.561644711231865,1.304734379539979,1673.873139087023,0.3236305159045503,0.14601446055894762,21.12927444802696,11.779953771824239,6.52641753796016,
1,obj2-val2,2,0,124.99911504424779,57.61362831858407,3.2578761061946904,23.674074818986323,10.911672030034861,6.5618905050026735,109,42,0,142,86,7,12240.0,0.4616013071895425,408.2018959352479,5650,452.2925774445577,3302.0,2456.216733333333,0.10028086289689805,0.46459338334774425,0.24364034842153648,0.6245728053938674,0.20367795536452615,0.5883669091746424,0.9562873789712221,9.902317637969213,2.6737217546820107,1.2004934877942202,473.9220545231252,0.8613270727524868,2.517165589070256,8.096582319141037,6.233198030677288,1.3873314777706263,
2,obj3-val3,3,0,52.96212786066293,105.52528184702626,10.385809761695807,10.030706034216465,19.985848834664065,20.91870416203087,16,81,0,95,130,19,80000.0,0.1851625,1070.2114485820932,14813,1133.072339246111,7694.0,5843.962966666667,0.05448561699632901,0.3791063384446232,0.1243414861218578,0.4991204351343869,0.08904686735325779,0.44655322689644533,0.9522036542575316,27.680200554691123,6.956532578539226,1.1756002362843663,1561.5323074372268,0.6853597863360988,0.7823002151757643,22.55103420178685,11.906515138333537,6.637961230761604,
3,obj4-val4,4,0,137.28549430243302,105.95154501591212,12.097012627040344,26.00104058758201,20.0665804954379,24.365344079640636,105,84,0,164,126,22,59340.0,0.1641557128412538,703.768967841637,9741,915.3854478010695,5826.0,4322.189133333332,0.054268525189162316,0.3786021665725758,0.13290709292515546,0.5103279870554198,0.07302988007699614,0.4179912988355371,0.9445453246482313,33.477885462953594,7.042435073384815,1.5707578782809881,2017.4728338557936,0.3488368993284504,NaN,NaN,NaN,NaN,
4,obj5-val5,5,0,106.38527275316906,138.6093861273323,7.886981911408631,20.148725900221415,26.251777675631118,15.88565986876953,62,118,0,137,163,16,59432.0,0.23627002288329518,1014.5081456146462,14042,1019.6705901009697,6710.0,4974.350566666666,0.07381468153020997,0.4194832531930148,0.18117619907847013,0.5658487768308856,0.10979530520072162,0.478844948099359,0.9601563769141506,20.54075371919737,4.435393124925486,1.262710613712165,1461.4018260209484,0.6942020514487189,1.4907446839857161,18.556919777407526,10.590443508233259,4.826246851379538,
5,obj6-val6,6,0,57.724079426919694,70.60343094130954,9.97718989568933,10.932590800552973,13.371861920702564,20.095677523969044,33,41,0,79,107,20,66129.0,0.24065084909797518,1149.756632197086,15914,1230.5777402448898,8890.0,6658.9445,0.040766722582825134,0.3441668702976331,0.09700517316597146,0.45947825716839064,0.08023004864177094,0.4312999260902114,0.944443036579697,28.213276226805526,6.942479607801417,1.2493906433793696,1562.1461976880914,0.7360109021157405,0.10238567075393794,21.130423133778898,11.330938436269216,7.251687966889114,
6,obj7-val7,7,0,76.22829716193657,26.844681612210827,10.967564989267828,14.437177492791017,5.084220002312657,22.090453479563816,48,0,0,107,62,22,86940.0,0.19291465378421901,1211.745521880704,16772,1354.8347473194358,11776.0,9087.346633333333,0.01948178247716855,0.2690771382355544,0.0423946249755373,0.34868794468193404,0.06677536045462547,0.40570074524145466,0.9188769193051506,32.63371820997875,6.137014324898307,1.220245799960707,3167.5732731111975,0.3825469586345275,NaN,NaN,NaN,NaN,
7,obj8-val8,8,0,91.3320097739768,46.513744654856445,11.76287925066178,17.29772912385924,8.809421336147054,23.692345304243997,55,30,5,127,68,22,51246.0,0.1916637396089451,709.6210658187618,9822,875.3164354907115,6000.0,4452.711,0.050512455622305996,0.36965784397560586,0.12358868395143807,0.4981111185077201,0.0849200268958559,0.4395453918805559,0.9421825837817475,21.381103719221443,5.442643572567188,1.2259769418681687,1127.3969574027203,0.6294331922392055,1.8331332916629166,21.321993757245323,10.124073232004877,4.905311881062174,
8,obj9-val9,9,0,26.60779522978476,41.15951134380454,10.025247236765562,5.039355157156204,7.7953619969326775,20.192472797891273,7,22,4,45,60,16,19773.0,0.4346836595357305,620.9726186837975,8595,687.6961197880952,4026.0,2922.7822666666666,0.1280332659415448,0.5040124203153649,0.3346221955562459,0.6942537721837198,0.1340934464664459,0.5118422618560095,0.9692486506754177,15.938198550362934,4.1847451740679,1.4241863002483468,679.9883123477041,0.9132107234900095,2.1861822048385626,12.888515603906969,9.021012347712972,3.2513218195409666,
9,obj10-val10,10,0,59.33221194280908,128.08948696383516,6.911690496215307,11.23716135280475,24.259372531029385,13.921264886161422,27,107,3,77,143,11,16983.0,0.3500559382912324,429.51509227169004,5945,493.71343116089196,3474.0,2537.686666666667,0.09533813434388604,0.4568313397474327,0.24459191529544597,0.6253848640109775,0.1733741737999432,0.5576072200669405,0.9553434419952,10.93100850820725,2.6788637326517235,1.4740007234299868,517.2140848032554,0.8304396668452572,2.4567071129977704,9.479479952729516,6.7644076484415505,1.749396019656359,
10,obj11-val11,11,0,88.11598746081505,92.28702194357366,9.882257053291536,16.68863398879073,17.478602640828345,19.904467392939658,70,66,4,106,124,16,28379.0,0.28101765389900984,576.1787823156818,7975,674.8927137948226,4594.0,3399.2403333333336,0.074189216457223,0.42019154043872153,0.1831336466379406,0.5678793123678324,0.12214133931561431,0.49615936948567907,0.9516224291798125,16.729174881368596,4.996536307802052,1.1014782677921138,713.1783050453167,0.807902845949682,1.006776112289323,12.981837243497553,8.024106712458275,3.776598029636025,
11,obj12-val12,12,0,117.7370468611848,81.17824933687002,12.029000884173298,22.298683117648636,15.374668435013263,24.22835740636004,97,64,7,139,99,16,15480.0,0.3653100775193798,408.5631365511197,5655,494.2929627076743,3336.0,2501.2501333333335,0.09741805761788175,0.460129586175017,0.23112462397540118,0.6136895656653675,0.1563210448166651,0.5386906261363991,0.9553001995380411,12.82395160489223,4.218540484971184,1.0532202750539135,471.31422286038446,0.8668593408269514,1.4205569122963466,10.963013835728885,6.527327732068129,3.0099123314194136,
12,obj13-val13,13,0,151.34674401197606,58.54659431137725,18.280875748502993,28.66415606287425,11.088370134730539,36.82064666889662,136,33,14,164,76,22,11484.0,0.4653430860327412,386.09397024388755,5344,480.0110666062562,3092.0,2275.7331333333336,0.1092614140117639,0.4780675428415756,0.2740446162263261,0.6495417805843962,0.15243498819253606,0.5341892689508193,0.958385203319602,11.74274595130481,2.995173393710212,1.6543880234609378,457.0000713512926,0.8448444419324826,1.8604006892270415,10.117976151460276,6.998795041656389,2.118470739811421,
13,obj14-val14,14,0,97.31835264641403,121.23332289383025,18.99514563106796,18.43150618303296,22.960856608679972,38.25930197917697,79,104,16,117,137,22,9282.0,0.6879982762335703,461.37651459159173,6386,442.77173106140737,3210.0,2512.1969333333336,0.13944248208939033,0.5185595698291725,0.2909036420057201,0.6625973879422079,0.2773471357148589,0.652140863250789,0.9684210756781791,9.02618113317932,2.4068926072480386,1.0713012951438732,496.33587340658494,0.9295651177194774,2.913871074448727,7.109380027784699,5.962089949584649,1.0443995661996075,
14,obj15-val15,15,0,90.59667165295437,79.21839940164547,19.004487658937922,17.158460540332268,15.003484735160127,38.2781183374359,74,63,16,122,94,22,10976.0,0.4872448979591837,386.3829627365851,5348,423.4181296008396,3210.0,2416.6951,0.09779577066378638,0.460723496049091,0.22917623800613435,0.6119602246122358,0.22242313712884532,0.6058896561843248,0.9545467777268287,8.672552816584455,2.212479511663149,1.26374591666326,441.68349190426505,0.8747960243448122,2.463195997192824,7.338003665613978,5.620199476280915,1.0996088864125009,
