Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,79.0,111.64525331074839,92.00369443588954,11.580404989220819,24.165634014094017,19.91421526443166,23.32481256680194,779280.0,6.0,169.0,68.45998418694545,26.8586823518352,
1,obj2-val2,2,0,62.0,39.17741230201147,133.10983869400448,5.674370809445146,8.47995753724111,28.8116471606834,11.429102495813972,205820.0,0.0,162.0,51.122702434177846,33.562739562733924,
2,obj3-val3,3,0,54.0,85.38704850461995,82.03737766404251,8.501904631673536,18.482041130428314,17.757004308882724,17.124213892277126,255955.0,0.0,152.0,63.9567716141929,28.75293372115132,
3,obj4-val4,4,0,87.0,75.46583801304037,101.49733539366072,9.907567180492217,16.334593436893275,21.96911545985828,19.955446091313963,663325.0,10.0,224.0,71.67981413442836,26.031048909431703,
4,obj5-val5,5,0,45.0,155.11965615806713,72.47193860615798,10.885216579827357,33.57567588363447,15.686563402509647,21.924590436158933,527219.0,0.0,189.0,77.97944091110783,34.11854148581568,
5,obj6-val6,6,0,95.0,114.72174902680962,81.10019399143852,10.561730662286772,24.8315420336077,17.55415074400168,21.273037368571288,773230.0,2.0,178.0,77.89945597420915,28.50394229141592,
6,obj7-val8,8,0,55.0,57.92826892182965,95.28631431966299,11.712989570657182,12.53858363273723,20.624738895005212,23.591859402739853,975421.0,4.0,186.0,77.88414244650272,35.13237863627352,
7,obj8-val9,9,0,105.0,131.6735213954756,65.16484444963595,11.856134407974146,28.500756037818086,14.104941633050716,23.880176305596994,1027320.0,2.0,217.0,81.21106719367589,33.36318715504103,
8,obj9-val11,11,0,112.0,56.37413912784338,71.20978932027897,8.61244307795186,12.202191975249221,15.41337097552121,17.346856238833,275157.0,5.0,182.0,78.3923076923077,28.36501680743537,
9,obj10-val12,12,0,177.0,91.62004275578056,61.14570278174879,14.043277768305638,19.831173793204925,13.234997737392002,28.285437519167893,762470.0,20.0,194.0,92.08574879227054,25.491565665565403,
10,obj11-val13,13,0,153.0,32.81014284090479,124.34656158829993,13.563202364263251,7.101760982498659,26.91483434490597,27.31848784619503,263930.0,0.0,211.0,68.64239271781534,38.32633877652895,
11,obj12-val14,14,0,117.0,65.666272284738,132.91831976026185,14.871126349030886,14.21347577300048,28.770192854993287,29.95285873604959,347379.0,0.0,211.0,80.13356401384083,32.19711608052946,
12,obj13-val15,15,0,139.0,37.31659401864633,83.08250595310167,13.293038907050894,8.077183104212818,17.983222504302848,26.77433485605842,198216.0,12.0,199.0,96.87976539589442,32.92467822661828,
13,obj14-val16,16,0,112.0,119.32365128212443,52.392888854022175,15.724308480100417,25.827624557251053,11.340449678262445,31.67130582931316,560866.0,21.0,226.0,100.26206649982123,28.443147866575064,
14,obj15-val17,17,0,93.0,54.40740903347919,116.0893689052797,15.434166044694209,11.77649291276759,25.127563588250236,31.08691193895919,204993.0,30.0,203.0,86.8614406779661,26.265072711749642,
15,obj16-val18,18,0,153.0,90.86403140222941,36.95675142056305,14.312823556372996,19.66753500750961,7.999295112828557,28.82834642353645,170179.0,10.0,213.0,101.53878281622912,39.211683296378524,
