Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,44.0,111.36197014549349,41.148831643257544,0.0,24.1043173249299,8.906671588005617,0.0,15877.0,13.0,77.0,34.97136563876652,10.590785673276155,
1,obj2-val2,2,0,60.0,66.77974675282292,51.53452777233862,0.0,14.454487510462208,11.154657276554403,0.0,30642.0,11.0,103.0,49.743506493506494,15.140398445314595,
2,obj3-val3,3,0,73.0,109.31068010588474,88.5680869476685,0.0,23.660315247958764,19.1705774409288,0.0,39288.0,17.0,104.0,54.642559109874824,14.822211824092589,
3,obj4-val4,4,0,70.0,87.93744530269015,37.407480689471484,0.0,19.034074949916707,8.09685553952726,0.0,26281.0,14.0,88.0,49.49340866290019,14.474097027938882,
4,obj5-val5,5,0,45.0,27.216090850927703,75.35188739603326,0.0,5.890927480519528,16.309928806516115,0.0,12504.0,2.0,55.0,24.232558139534884,10.429429330584766,
5,obj6-val6,6,0,71.0,58.4291291949989,86.5830664619434,0.0,12.646994923810384,18.74091942013506,0.0,22795.0,26.0,104.0,52.52304147465438,13.784406424435781,
6,obj7-val7,7,0,15.0,133.0929569004355,70.29584021624869,0.0,28.80799309360225,15.215546536948517,0.0,6659.0,3.0,39.0,17.900537634408604,6.239021601641529,
7,obj8-val8,8,0,12.0,138.5730539753018,95.05647287359511,0.0,29.99416103487895,20.57498967502282,0.0,7207.0,3.0,41.0,15.565874730021598,6.428046773808107,
8,obj9-val9,9,0,16.0,164.79242746723423,78.46656211493223,0.0,35.66934887400116,16.984100677669165,0.0,8927.0,0.0,43.0,19.75,7.34948751550586,
9,obj10-val10,10,0,32.0,104.72797658389199,121.50977244830517,0.0,22.668388293399065,26.300810854435998,0.0,10591.0,5.0,61.0,26.280397022332505,9.85710279259944,
10,obj11-val11,11,0,29.0,162.7571937517128,56.21951219512195,0.0,35.22882219110186,12.168722949437011,0.0,3649.0,0.0,46.0,24.48993288590604,9.660883408814565,
11,obj12-val12,12,0,15.0,37.06106475670088,31.6296241600827,0.0,8.021873752127084,6.846237513819303,0.0,13543.0,0.0,39.0,14.166317991631798,6.389991801593324,
12,obj13-val13,13,0,6.0,128.56582633053222,135.55960161842515,0.0,27.828094913947467,29.341898761152894,0.0,3213.0,1.0,23.0,7.489510489510489,3.971040847690342,
13,obj14-val14,14,0,56.0,65.3818769221211,105.2471498244851,0.0,14.151918348528731,22.780763429376982,0.0,32191.0,14.0,99.0,49.52461538461539,15.408065552116357,
14,obj15-val15,15,0,12.0,138.87647831800263,23.767411300919843,0.0,30.05983728531717,5.144460207025895,0.0,5327.0,0.0,36.0,15.351585014409222,5.948504117649569,
15,obj16-val16,16,0,13.0,55.88227901131127,128.38751571009635,0.0,12.0957287696066,27.789499549912726,0.0,2387.0,2.0,33.0,11.758620689655173,5.377424580390473,
16,obj17-val17,17,0,37.0,114.59474940334128,7.218138424821002,0.0,24.8040529435689,1.5623672862453928,0.0,2095.0,0.0,44.0,23.27777777777778,9.839187618079567,
17,obj18-val18,18,0,49.0,111.3179965055329,107.60017472335468,0.0,24.094799223102527,23.29007606780922,0.0,3434.0,12.0,53.0,32.7047619047619,7.933526485166764,
18,obj19-val19,19,0,23.0,48.16959418534222,63.011508176862506,0.0,10.426316830957875,13.638851631604084,0.0,1651.0,11.0,41.0,23.253521126760564,6.745831114440037,
19,obj20-val20,20,0,60.0,66.01033227662323,51.99632108332355,1.0,14.287947616596451,11.25461251703702,2.01416207710464,25551.0,12.0,96.0,43.233502538071065,13.440123123537257,
20,obj21-val21,21,0,29.0,39.12686524822695,31.138609929078015,1.0,8.469016618876694,6.739957400242557,2.01416207710464,17625.0,4.0,59.0,22.771317829457363,8.852136165388233,
21,obj22-val22,22,0,57.0,27.138106092001657,75.1515748031496,1.0,5.874047666223807,16.266571111813523,2.01416207710464,19304.0,4.0,82.0,38.91935483870968,16.961321072139956,
22,obj23-val23,23,0,77.0,88.0634242063214,36.72717078982409,1.0,19.061343104973655,7.9496023463683425,2.01416207710464,28538.0,18.0,96.0,51.051878354203936,14.541221564973936,
23,obj24-val24,24,0,27.0,132.24831929197515,70.85099140498681,1.0,28.625171140000866,15.335709105904265,2.01416207710464,11751.0,8.0,69.0,27.714622641509433,8.4557629766236,
24,obj25-val25,25,0,66.0,109.53797481484555,90.38871024625023,1.0,23.709513226262406,19.56465166268367,2.01416207710464,48203.0,22.0,111.0,56.05,15.3795916508885,
25,obj26-val26,26,0,25.0,137.37675207570751,94.40674939737524,1.0,29.735221285819527,20.43435691840223,2.01416207710464,11201.0,5.0,50.0,23.43305439330544,8.451037639958994,
26,obj27-val27,27,0,60.0,59.37565151358255,86.62127644886266,1.0,12.851869840197555,18.74918997828413,2.01416207710464,28971.0,29.0,108.0,60.48225469728601,14.00729032873252,
27,obj28-val28,28,0,39.0,163.24291497975707,55.83014354066986,1.0,35.333956633290136,12.084444038144115,2.01416207710464,5434.0,0.0,87.0,40.25185185185185,13.40846164032168,
28,obj29-val29,29,0,75.0,111.40377666896077,41.670552305574674,1.0,24.113366354024762,9.019598113847739,2.01416207710464,23248.0,19.0,98.0,49.46382978723404,12.85484693720886,
29,obj30-val30,30,0,8.0,128.75154285714285,136.00297142857144,1.0,27.868293287629772,29.43786623175437,2.01416207710464,4375.0,1.0,24.0,9.965831435079727,4.204391993552449,
30,obj31-val31,31,0,46.0,49.8613845144357,62.96440288713911,1.0,10.792505134617004,13.62865568365442,2.01416207710464,6096.0,11.0,63.0,29.02857142857143,8.800236124340975,
31,obj32-val32,32,0,78.0,68.80421139270894,105.67570904352002,1.0,14.892683225113789,22.873525145020533,2.01416207710464,29159.0,11.0,96.0,46.954911433172306,14.059134186169636,
32,obj33-val33,33,0,67.0,104.49399362588869,121.61265015935278,1.0,22.617742642455852,26.323078752440264,2.01416207710464,16316.0,10.0,89.0,42.16020671834625,14.538324124566053,
33,obj34-val34,34,0,35.0,164.80831157528286,78.84225413402959,1.0,35.67278699188222,17.06541927891998,2.01416207710464,13788.0,0.0,56.0,29.651612903225807,10.009431036648353,
34,obj35-val35,35,0,28.0,56.58606213266163,126.72586062132662,1.0,12.248062745584173,27.429834024132592,2.01416207710464,4764.0,2.0,36.0,16.14915254237288,6.751023426606047,
35,obj36-val36,36,0,34.0,138.4791420118343,22.92337278106509,1.0,29.97383377445899,4.961767926254797,2.01416207710464,6760.0,0.0,51.0,24.142857142857142,7.639804674426542,
36,obj37-val37,37,0,42.0,113.64574616457462,6.471059972105997,1.0,24.598641031587356,1.4006620284510753,2.01416207710464,2868.0,0.0,60.0,34.142857142857146,15.457787725833741,
37,obj38-val38,38,0,13.0,154.3144208037825,34.829787234042556,1.0,33.40138255463202,7.538913353924069,2.01416207710464,846.0,7.0,33.0,18.0,5.653009971610738,
38,obj39-val39,39,0,49.0,39.66594214353462,31.389938349668036,2.0,8.585699904293229,6.794357479504448,4.02832415420928,25304.0,7.0,70.0,35.43977591036415,12.66041031288192,
39,obj40-val40,40,0,54.0,59.1407199172806,56.98959545043299,2.0,12.801018856333709,12.335407600654845,4.02832415420928,30948.0,10.0,78.0,36.154205607476634,11.586624919665832,
40,obj41-val41,41,0,53.0,136.87682780871103,94.19644065150648,2.0,29.627012593441215,20.388835554690672,4.02832415420928,19217.0,8.0,78.0,36.74378585086042,11.43712340451672,
41,obj42-val42,42,0,34.0,56.43513736831233,125.82431315843834,2.0,12.215395054743999,27.2346939228884,4.02832415420928,9682.0,4.0,79.0,27.74212034383954,12.270981425558237,
42,obj43-val43,43,0,68.0,132.00563522012578,71.29932075471699,2.0,28.572642131489964,15.432750069689808,4.02832415420928,19875.0,16.0,83.0,44.96606334841629,11.41770226697133,
43,obj44-val44,44,0,60.0,27.17486834304049,75.01824015624454,2.0,5.882004861696023,16.23771080487743,4.02832415420928,28673.0,9.0,123.0,58.6359918200409,24.703869351798975,
44,obj45-val45,45,0,62.0,163.2871607368865,55.79229362958796,2.0,35.34353363492486,12.076251418471111,4.02832415420928,7111.0,0.0,87.0,50.43262411347518,17.033708162908297,
45,obj46-val46,46,0,60.0,109.57126113455227,41.55409048288795,2.0,23.71671805580827,8.994389932575327,4.02832415420928,34128.0,16.0,96.0,59.35304347826087,14.159084461110186,
46,obj47-val47,47,0,31.0,86.17562460634055,36.45821960948982,2.0,18.652728561387875,7.891387817770995,4.02832415420928,19052.0,7.0,86.0,40.36440677966102,13.997976956796697,
47,obj48-val48,48,0,8.0,128.1572202166065,135.164440433213,2.0,27.73965205128884,29.256366055594576,4.02832415420928,5540.0,1.0,36.0,13.15914489311164,5.6480795919121976,
48,obj49-val49,49,0,60.0,62.354747961878516,87.8715122287289,2.0,13.496695771684575,19.01980372487558,4.02832415420928,34836.0,27.0,96.0,61.11578947368421,13.713895426127623,
49,obj50-val50,50,0,62.0,71.77118223782092,106.39919124098729,2.0,15.53488456773514,23.030122989364564,4.02832415420928,26213.0,12.0,98.0,49.74003795066414,15.552522639585854,
50,obj51-val51,51,0,64.0,104.66614331196301,122.02241702647302,2.0,22.655004471203146,26.411772860324707,4.02832415420928,22929.0,13.0,106.0,58.94344473007712,15.669982120271984,
51,obj52-val52,52,0,33.0,164.82819488341582,79.57308128093506,2.0,35.6770907372998,17.223606938815607,4.02832415420928,16769.0,0.0,75.0,35.527542372881356,11.57121785701883,
