Nb,Name,Label,Type,AtCenter,CMx (pix),CMy (pix),CMz (pix),CMx (unit),CMy (unit),CMz (unit),IntDen,Min,Max,Mean,Sigma,
0,obj1-val1,1,0,70.0,91.25398114272727,177.70205215810196,11.519154208793706,19.751939694975665,38.46363932780576,23.201443567672584,545572.0,1.0,223.0,68.92886923562855,37.05754896068306,
1,obj2-val2,2,0,58.0,90.64263525583627,154.09965866646007,11.102002261651304,19.619613774074132,33.35489725358502,22.361231935348,671191.0,4.0,178.0,74.14017452778084,26.584816032762557,
2,obj3-val4,4,0,95.0,52.9290559522015,130.14456488472905,8.15310228897446,11.456503137597048,28.169813141756688,16.421669441207392,218919.0,1.0,239.0,45.35301429459292,35.16418321404704,
3,obj4-val5,5,0,32.0,29.559473570778035,168.7114928704019,11.918226881817613,6.398153067667741,36.517631245188454,24.00524061168612,143837.0,0.0,180.0,29.468756402376563,34.028452069950504,
4,obj5-val6,6,0,130.0,67.67830347016029,169.762033722422,12.069449080218488,14.64898026432468,36.74502099077943,24.309826628921556,632161.0,0.0,193.0,68.32695633376568,39.42517183690257,
5,obj6-val7,7,0,118.0,79.63611123685362,191.97797745688288,7.840862794803313,17.237249783464033,41.55366577991712,15.792768493073533,397638.0,0.0,193.0,61.55386996904025,41.30965662895422,
6,obj7-val8,8,0,27.0,116.08556494929788,176.53791458920443,13.81270082135029,25.126740221332824,38.211661553580704,27.821018176755864,415170.0,0.0,172.0,61.515780115572674,31.25302965614473,
7,obj8-val9,9,0,73.0,65.29579831932773,193.63808486357507,4.401276065981948,14.133286620355218,41.91299630964908,8.864883342969138,96390.0,1.0,211.0,35.191675794085434,36.39060660614125,
8,obj9-val10,10,0,50.0,113.1390084575285,103.226972007033,16.99091982188822,24.488957568954746,22.343495598168268,34.22246636037277,647234.0,0.0,235.0,61.01376319758673,28.840562931336727,
9,obj10-val11,11,0,58.0,76.37928213130431,119.08101483448007,8.641017320127183,16.532308571211196,25.775105857007404,17.404409393804535,289663.0,1.0,178.0,41.20970266040688,29.082837790324497,
10,obj11-val12,12,0,76.0,28.738316275699663,121.3617124052773,9.560456480391268,6.220413431880136,26.2687632330117,19.256308882613393,132492.0,0.0,174.0,27.317938144329897,30.187090160010666,
11,obj12-val13,13,0,5.0,34.214233487691935,75.84854984157933,10.067145990738483,7.405676641128851,16.41743147708828,20.27686367922147,41030.0,0.0,88.0,15.338317757009346,17.585657684082083,
12,obj13-val14,14,0,51.0,74.95897220075447,146.91132553352668,16.245785732322265,16.22488224585979,31.798981327823665,32.72164553481113,653435.0,0.0,183.0,70.18635875402792,30.35203214550333,
13,obj14-val15,15,0,26.0,109.88173557635574,149.6910106150829,15.533768026628554,23.78392030139295,32.40064463515979,31.28752647377581,533863.0,0.0,134.0,55.872632129774985,30.124266379114264,
14,obj15-val16,16,0,97.0,100.52429139571223,190.51190573659832,14.94430808412493,21.758499921474524,41.23633430741645,30.10025861161273,574051.0,0.0,198.0,70.12594673833374,35.67897856116862,
15,obj16-val17,17,0,93.0,106.08090447282619,68.62577684506331,16.925560229135517,22.96122976441481,14.854061037013478,34.090821547275276,444104.0,0.0,153.0,53.205223433568946,38.050670387330484,
16,obj17-val18,18,0,66.0,62.25701635144131,60.13692304249808,13.912755019271541,13.475541748030206,13.016647191742615,28.02254354786397,357522.0,1.0,174.0,44.69025,33.536683550709775,
17,obj18-val19,19,0,78.0,79.81385034332266,90.39951276718222,16.227978445638243,17.275721443203725,19.5669898701715,32.68577877327605,606281.0,1.0,217.0,70.2853002550429,32.672809022177624,
18,obj19-val20,20,0,61.0,147.07391874180865,115.01079073831367,6.717824377457405,31.83417465533203,24.89410516108409,13.53078710172379,22890.0,0.0,70.0,21.233766233766232,13.53550614360937,
19,obj20-val21,21,0,23.0,113.25903082830472,152.57520701755251,14.488425654501313,24.514936431464996,33.0249294356327,29.182037510246516,810197.0,0.0,181.0,78.1666184273999,21.732233435301623,
20,obj21-val22,22,0,106.0,76.45596059935724,109.74846195584122,16.15906840853124,16.548905638625886,23.75507320362944,32.54698278980325,598975.0,7.0,240.0,81.20593817787419,27.78868000209232,
21,obj22-val23,23,0,86.0,67.13877671653854,87.05603725160819,16.91204464643845,14.532199606999768,18.843294027773627,34.06359897315687,663166.0,6.0,204.0,88.36322451698868,32.676880177426504,
22,obj23-val24,24,0,67.0,94.43026364013976,57.20062387502952,18.573707658351047,20.439446580236616,12.381084738949086,37.410457596678704,613905.0,4.0,175.0,68.01517837358742,30.411360540493057,
23,obj24-val25,25,0,105.0,82.52801989669027,22.310449588674192,17.281725655251577,17.863203903352026,4.829100597310301,34.80819644173406,261350.0,0.0,176.0,38.97256188487921,38.13254671242227,
24,obj25-val26,26,0,34.0,36.1339568067875,91.23079444658697,12.770902429618204,7.821201079131259,19.74692093066364,25.72266736414049,51860.0,3.0,75.0,24.99277108433735,11.05977646829154,
25,obj26-val28,28,0,23.0,56.67323576979212,27.691704469251707,16.146676659697842,12.266931494125675,5.993874128869605,32.52202379923401,126755.0,0.0,191.0,31.96041351487645,40.06540927229911,
26,obj27-val30,30,0,88.0,52.298238034124665,106.77329133793852,16.11744479156547,11.319962492242894,23.11109701879686,32.46314607899887,391154.0,33.0,255.0,100.63133521996399,35.04571936114958,
27,obj28-val31,31,0,194.0,52.18279564462042,136.27342582117893,17.118126540341805,11.294974967455724,29.4964061309032,34.47868130863491,396016.0,10.0,255.0,95.4255421686747,42.88317405069121,
28,obj29-val32,32,0,34.0,96.95837753641491,47.26741180432769,20.707409278437314,20.986657261852304,10.231039301577573,41.708078483713194,237540.0,9.0,153.0,65.74591752006643,23.787616665236612,
29,obj30-val33,33,0,51.0,128.80622356569117,173.23807637458407,20.03804712163134,27.88012893626888,37.49741101237512,40.35987461162563,164086.0,0.0,160.0,47.506079907353794,31.247632391385626,
